sweep,scheme,N,range_pct,d,matched,abse_test_calls,bitmap_words,agg_entries,note,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
vs_range,BVCRSA,10000,10,1,5,2,157,5,,20,1625.7735788999923,1625.8819019999464,0.3940587155126078,0.1727038467024386,1624.7904169999856,1626.3441739999962,"[1626.197723, 1625.88887, 1625.876132, 1625.914858, 1626.212699, 1625.560477, 1625.387559, 1625.641508, 1626.344174, 1626.098693, 1624.790417, 1625.513137, 1625.225366, 1626.022707, 1625.550698, 1625.505559, 1626.051869, 1625.887672, 1625.547617, 1626.253843]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,BVCRSA,10000,20,1,8,3,157,8,,20,2912.401557300018,2912.442831000021,0.51412509880808,0.22532525929523792,2911.247096000011,2913.4149070000603,"[2912.05707, 2912.396187, 2911.247096, 2912.477547, 2913.414907, 2912.1952, 2912.455822, 2912.71654, 2912.638472, 2912.098002, 2912.243196, 2911.554973, 2911.892672, 2912.777401, 2912.442583, 2913.020671, 2912.076787, 2912.823541, 2913.0594, 2912.443079]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,BVCRSA,10000,30,1,8,4,157,8,,20,4059.9705808000062,4059.8596039999393,0.5717703950772279,0.2505894242992602,4059.1857110000547,4061.1158799999885,"[4060.192139, 4059.274378, 4059.809037, 4060.022072, 4059.555589, 4059.456114, 4059.910171, 4059.327703, 4059.185711, 4059.473271, 4059.766806, 4060.515657, 4060.007076, 4060.404199, 4059.804167, 4060.431286, 4059.447524, 4060.92407, 4060.788766, 4061.11588]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,BVCRSA,10000,50,1,12,6,157,12,,20,6778.334355850052,6778.089827500025,0.8975270046480291,0.3933585532308135,6777.086039000096,6780.7123440002215,"[6779.699213, 6778.955516, 6780.712344, 6779.336389, 6778.961615, 6777.917447, 6777.930821, 6777.418728, 6778.59547, 6778.227464, 6778.031408, 6777.514582, 6778.844892, 6777.210849, 6777.690597, 6777.858377, 6777.940504, 6778.606615, 6778.148247, 6777.086039]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,BVCRSA,10000,80,1,21,9,157,21,,20,11788.235574299995,11788.140066999971,1.5140118268294174,0.6635449392517265,11786.086582000053,11791.584505000174,"[11788.014249, 11786.904311, 11788.089379, 11786.086582, 11786.635871, 11787.170336, 11788.582362, 11788.174499, 11788.325383, 11789.473772, 11788.783246, 11786.612597, 11786.44943, 11790.887965, 11789.267364, 11788.105635, 11786.53364, 11789.286071, 11791.584505, 11789.744289]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,Trinity,10000,10,1,44,,157,44,,20,22400.060857500015,22398.764791499958,14.3884823646874,6.306030433457597,22370.865046000064,22424.435880000146,"[22420.942057, 22410.616314, 22403.130978, 22408.185141, 22408.214337, 22416.833624, 22385.384172, 22396.347303, 22396.346964, 22401.18228, 22388.524318, 22388.42835, 22370.865046, 22416.508339, 22409.972235, 22392.757806, 22395.15892, 22380.401743, 22386.981343, 22424.43588]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,Trinity,10000,20,1,79,,157,79,,20,43620.08728464998,43623.37059449987,25.84699601454187,11.327945460125624,43567.48236400017,43661.92791599997,"[43647.822451, 43567.482364, 43609.40289, 43600.565013, 43613.094325, 43618.616765, 43580.568466, 43592.690187, 43586.17492, 43643.818991, 43626.506736, 43642.513612, 43651.243923, 43600.180631, 43629.729064, 43633.624349, 43641.025561, 43620.234453, 43661.927916, 43634.523076]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,Trinity,10000,30,1,123,,157,123,,20,88434.25345179999,88360.8937125,279.34259539569075,122.42729033393292,88176.42041399995,89469.11668600023,"[88416.33158, 88455.251342, 88459.975825, 88438.932348, 88575.561024, 89469.116686, 88758.779414, 88307.10718, 88282.837273, 88460.751065, 88339.273563, 88339.136746, 88176.420414, 88238.802753, 88344.529798, 88285.334106, 88208.33134, 88500.204161, 88251.134791, 88377.257627]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,Trinity,10000,50,1,212,,157,212,,20,131166.6012045,131184.23042349968,101.97125865254247,44.690874555266525,130857.96766000021,131282.80118899967,"[131000.225324, 131165.751715, 131223.384523, 131144.99344, 130857.96766, 131114.83794, 131269.535892, 131176.757323, 131264.911083, 131225.799678, 131184.662313, 131205.6754, 131269.770281, 131065.687361, 131282.801189, 131190.882383, 131131.077378, 131183.798534, 131237.974073, 131135.5306]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,Trinity,10000,80,1,381,,157,381,,20,376039.2596810501,375972.6019379996,193.89608373769065,84.97870546645967,375862.334555999,376692.4314349999,"[376692.431435, 376253.262395, 376266.799312, 376101.519642, 376081.594789, 375966.659265, 375940.259719, 375978.544611, 375878.176461, 376026.395487, 375943.875726, 375945.534874, 375883.391408, 375903.269608, 375941.273257, 376112.180196, 376128.442833, 375862.334556, 375890.261586, 375988.986461]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
