scheme,query_count,concurrency,mean_throughput_qps,stdev_qps,ci95_qps,mean_latency_ms,implied_qps,reconcile_error,consistency_check,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
BVCRSA,5,single-threaded sequential,0.28,0.0,0.0,3568.114819,0.28,0.0,PASS,5,3568.114819320017,3568.0649765999988,0.4132120060488298,0.36219629278054116,3567.547165200085,3568.519791199924,"[3568.514063, 3567.928101, 3567.547165, 3568.064977, 3568.519791]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA,10,single-threaded sequential,0.28,0.0,0.0,3567.671849,0.28,0.0,PASS,5,3567.6718487200014,3565.860125600011,3.706442283751859,3.2488399052502985,3565.0139071000012,3573.963658899993,"[3568.056322, 3573.963659, 3565.860126, 3565.46523, 3565.013907]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA,25,single-threaded sequential,0.281,0.002,0.001,3559.623604,0.281,2e-05,PASS,5,3559.623603767999,3565.8378747999996,19.50067079981163,17.093091601967807,3536.1888905600063,3584.812605399984,"[3565.837875, 3544.083656, 3536.188891, 3584.812605, 3567.194992]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA,50,single-threaded sequential,0.268,0.005,0.005,3728.003511,0.268,0.00033,PASS,5,3728.003510748,3775.9702199799995,74.97974276950004,65.72264229307576,3613.228984440002,3784.0418009400037,"[3613.228984, 3784.041801, 3777.066466, 3775.97022, 3689.710082]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Trinity,5,single-threaded sequential,0.012,0.0,0.0,83351.250387,0.012,0.0003,PASS,5,83351.25038676003,83944.7037508,1619.1098752811492,1419.2123797145834,81601.22996480003,85074.2324418001,"[83944.703751, 84472.006678, 85074.232442, 81601.229965, 81664.079099]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Trinity,10,single-threaded sequential,0.012,0.0,0.0,82959.014613,0.012,0.00011,PASS,5,82959.01461282,83184.52756300003,970.7431324939218,850.8938721154176,81947.82245849982,84229.12061120005,"[82021.999321, 84229.120611, 83184.527563, 81947.822458, 83411.603111]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Trinity,25,single-threaded sequential,0.012,0.0,0.0,82862.096038,0.012,0.0001,PASS,5,82862.09603795198,82849.09543263995,925.7756448457468,811.4781313252066,81409.89995947995,83905.21959783997,"[83905.219598, 82806.655499, 82849.095433, 81409.899959, 83339.6097]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Trinity,50,single-threaded sequential,0.011,0.0,0.0,87641.351287,0.011,0.00146,PASS,5,87641.35128676,87491.74002422005,3775.8443080852962,3309.673461771077,84084.46751547999,93148.83863849987,"[84084.467515, 84250.876045, 87491.740024, 89230.834211, 93148.838638]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
VC-KASE,5,single-threaded sequential,0.088,0.0,0.0,11304.270239,0.088,0.0,PASS,5,11304.270239359757,11303.393468800641,13.91756098427445,12.199280077199926,11287.275541199779,11323.425142199267,"[11287.275541, 11295.964593, 11311.292451, 11303.393469, 11323.425142]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
VC-KASE,10,single-threaded sequential,0.087,0.002,0.001,11470.00142,0.087,0.0003,PASS,5,11470.001420059998,11316.417860900401,223.26648331291477,195.70170124371995,11297.988912199799,11732.972790699569,"[11297.988912, 11307.534758, 11316.417861, 11695.092779, 11732.972791]",2026-08-17T18:37:45+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
