arm,matched_records,decrypt_calls,ec_adds,bytes_returned,verified,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
Naive,100,100,0,6600,False,20,2426.7025030000013,2426.679643500165,1.9625658324849369,0.8601323999039375,2423.2346230000985,2429.864026999894,"[2428.7209, 2429.336364, 2428.532755, 2427.400577, 2424.109015, 2423.234623, 2429.864027, 2426.984028, 2423.679223, 2426.01883, 2426.376352, 2428.556848, 2426.41071, 2424.330441, 2425.442758, 2425.3563, 2426.948577, 2428.301353, 2428.65213, 2425.794249]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Compact,100,2,198,164,False,20,52.657662199976585,52.70185699987451,0.23668012740855782,0.1037296393465339,52.197875999809185,53.0063500000324,"[52.742361, 52.950389, 52.688914, 52.404253, 52.76566, 52.874871, 52.266231, 52.317115, 52.950785, 52.507181, 52.891629, 52.631518, 52.589864, 52.720537, 52.493788, 53.00635, 52.7148, 52.587398, 52.197876, 52.851724]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Verifiable,100,2,396,21364,True,20,54.56692005006971,54.51847399990584,0.20657460900878025,0.09053531416113832,54.15799999991577,54.96681200020248,"[54.375859, 54.337297, 54.465972, 54.415466, 54.516858, 54.405624, 54.565087, 54.452162, 54.158, 54.763189, 54.766002, 54.52009, 54.429169, 54.510234, 54.843092, 54.654006, 54.544896, 54.966812, 54.835369, 54.813217]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Naive,200,200,0,13200,False,20,4861.209216799966,4861.5326455001195,2.7797522375256927,1.2182801328880597,4853.734993999751,4866.183135000028,"[4860.53677, 4863.009193, 4860.563325, 4861.378249, 4857.487142, 4861.687042, 4853.734994, 4858.718518, 4862.103009, 4862.613704, 4864.479126, 4862.205152, 4863.771357, 4866.183135, 4863.940325, 4861.24165, 4862.066087, 4859.312832, 4860.925963, 4858.226763]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Compact,200,2,398,164,False,20,55.73574060001647,55.768046999901344,0.18563787338500934,0.08135938520112644,55.435037999814085,56.07515500014415,"[55.724876, 55.773182, 55.949067, 55.848446, 55.653801, 55.883078, 56.022715, 56.075155, 55.797795, 55.762912, 55.591041, 55.826438, 55.81793, 55.83781, 55.570925, 55.536105, 55.435038, 55.446018, 55.460802, 55.701678]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Verifiable,200,2,796,42564,True,20,60.36926360002326,60.50641750016439,0.4102632392121576,0.17980579234333777,59.505673999865394,61.0796810001375,"[60.313593, 60.231051, 60.720559, 60.271853, 60.502947, 60.636448, 60.064489, 59.934126, 60.242502, 60.562544, 60.851601, 59.673595, 59.785996, 60.579538, 60.738947, 61.079681, 59.505674, 60.509888, 60.669145, 60.511095]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Naive,300,300,0,19800,False,20,7298.042335250034,7297.537852999994,4.067525357131381,1.7826715869549759,7291.144688000259,7304.586105999988,"[7300.146185, 7296.94647, 7299.29879, 7298.085185, 7303.927223, 7296.866973, 7295.585781, 7301.142304, 7296.117864, 7291.144688, 7304.586106, 7293.270015, 7304.476882, 7296.990521, 7300.412135, 7298.773268, 7302.674578, 7291.736231, 7295.107794, 7293.557712]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Compact,300,2,598,164,False,20,59.04792195003665,59.03222199981428,0.17168277025836334,0.07524329159318319,58.790410999790765,59.40790500017101,"[59.395087, 59.164681, 58.962942, 59.407905, 59.196386, 59.059255, 58.870771, 58.846807, 58.897511, 58.919389, 59.178853, 59.118318, 59.039297, 58.859668, 58.950885, 58.995692, 58.790411, 59.104538, 59.174896, 59.025147]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Verifiable,300,2,1196,63764,True,20,65.08327025001108,65.01492400002462,0.337166103004653,0.1477695599013116,64.59492900012265,65.81323799991878,"[65.394282, 64.945507, 64.669386, 65.430927, 65.813238, 65.322604, 65.134379, 64.88879, 65.265234, 64.975937, 65.053911, 65.526055, 64.594929, 64.626205, 65.441482, 64.851621, 64.773093, 64.87537, 65.273193, 64.809262]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Naive,400,400,0,26400,False,20,9647.227351549895,9648.02832999976,4.556176293085551,1.99683230212721,9636.341093000283,9656.016388999888,"[9647.543159, 9651.625388, 9649.061926, 9656.016389, 9650.697542, 9649.043692, 9649.071426, 9641.271914, 9636.341093, 9646.456915, 9648.885259, 9654.259493, 9645.449882, 9641.609525, 9645.980226, 9644.350759, 9642.647723, 9648.513501, 9647.201411, 9648.519808]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Compact,400,2,798,164,False,20,62.37964735009882,62.38697749995481,0.26283168822183073,0.11519106621498867,61.74365300012141,62.91442100018685,"[62.914421, 62.501855, 62.410844, 62.120525, 62.114434, 62.344418, 62.680503, 62.557886, 62.175742, 62.488229, 62.524074, 62.363708, 62.372095, 62.37086, 62.619699, 61.743653, 62.40186, 62.568469, 61.959683, 62.359989]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Verifiable,400,2,1596,84964,True,20,69.97738934990139,69.98280249990785,0.23113428694530305,0.1012990675979654,69.68036399985067,70.50287299989577,"[70.30011, 70.265591, 69.93625, 70.262212, 69.680364, 70.029355, 69.719616, 70.065492, 69.721891, 70.054239, 69.887642, 69.747759, 70.079978, 69.752287, 69.917719, 70.064663, 70.502873, 70.03134, 69.711307, 69.817099]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Naive,500,500,0,33000,False,20,12401.987806799934,12404.919406499857,9.986582442641916,4.376812732112031,12384.724485999868,12414.748694000082,"[12412.382972, 12386.71924, 12396.16629, 12395.827339, 12384.724486, 12397.007537, 12389.829536, 12385.890645, 12394.429985, 12414.422408, 12413.403153, 12406.449318, 12404.336092, 12402.150424, 12406.270101, 12408.685272, 12408.900763, 12411.90916, 12405.502721, 12414.748694]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Compact,500,2,998,164,False,20,66.20699585000693,66.18703199978881,0.26158784722599887,0.11464592886309198,65.78213600005256,66.81145799984733,"[66.273819, 66.201379, 66.46755, 66.811458, 66.119542, 66.317721, 66.099482, 66.110099, 66.189504, 66.18456, 66.041234, 65.999664, 65.801308, 66.579139, 66.550201, 65.960095, 66.224092, 66.004252, 66.422682, 65.782136]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA-Verifiable,500,2,1996,106164,True,20,75.96860344999641,75.98617400026342,0.19351248849298663,0.08481058743803094,75.48785299968586,76.24524399989241,"[75.487853, 76.042378, 76.028305, 76.11672, 75.870738, 75.717585, 76.072605, 76.245244, 76.185135, 76.185098, 75.921689, 75.8633, 75.975734, 76.170492, 75.774122, 76.136916, 75.989999, 75.703087, 75.90272, 75.982349]",2026-08-16T18:28:59+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
