arm,M_max,table_entries,table_bytes,table_build_ms,extrapolated,fitted_exponent,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
BSGS,1000,32,1168,10.4961,False,0.3858,20,1.7224290000058318,1.598160499952428,0.3469285665003059,0.15204814817412307,1.3205109999034903,2.404172999831644,"[1.331675, 2.190619, 1.645491, 1.603066, 1.593255, 1.476506, 2.174245, 1.444383, 2.054344, 2.1955, 2.404173, 2.005183, 1.390464, 1.988469, 1.791855, 1.320511, 1.335204, 1.407505, 1.537806, 1.558326]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Linear,1000,0,0,0.0,False,1.0,20,2.4395890999358016,2.730868500066208,1.3029578040431662,0.5710464354442565,0.025096999706875067,4.307856000195898,"[2.523956, 2.958828, 0.125911, 2.784927, 0.973865, 3.505725, 3.202208, 3.446362, 2.67681, 2.066897, 1.214355, 2.216341, 2.92525, 1.354352, 3.986095, 4.307856, 0.025097, 3.746519, 3.962503, 0.787925]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BSGS,10000,101,4688,4.4049,False,0.3858,20,2.9611578500635005,2.9420805001336703,0.9989286279974506,0.4377997741070882,1.5831750001780165,5.048124000040843,"[2.85542, 2.16876, 2.463015, 3.181603, 1.934504, 1.880781, 3.505704, 1.901031, 3.47572, 3.490514, 5.048124, 2.946595, 1.583175, 4.002618, 4.380291, 2.004144, 3.405399, 1.732794, 4.325399, 2.937566]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Linear,10000,0,0,0.0,True,1.0,20,24.280537249978806,29.52793250074137,15.40460682255588,6.75136661229083,2.191205001054186,43.50764500031801,"[40.90868, 30.940755, 30.503175, 43.507645, 42.49683, 17.801135, 28.55269, 9.50675, 34.79643, 3.39118, 2.191205, 32.59547, 11.16861, 38.003085, 14.25089, 3.918775, 42.027465, 11.49195, 42.629625, 4.9284]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BSGS,100000,317,9304,13.5682,False,0.3858,20,7.433165850011392,7.316365500173561,2.9972802971484716,1.313616008440771,2.3274929999388405,11.230571999931271,"[7.615009, 10.582443, 7.017722, 3.881824, 6.933556, 6.523731, 4.373887, 10.649432, 5.082741, 11.10586, 10.877014, 10.119533, 2.327493, 9.609016, 9.956328, 3.682059, 8.728405, 11.230572, 4.742103, 3.624589]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Linear,100000,0,0,0.0,True,1.0,20,252.83053000066502,252.55080000761154,137.03923878402912,60.06009448715928,15.284250002878252,460.0241499929325,"[230.23795, 188.29195, 132.7231, 460.02415, 318.1899, 339.67235, 274.86365, 107.74665, 338.43345, 160.27425, 419.2334, 380.654, 384.56875, 27.96335, 113.31275, 408.29765, 15.28425, 399.767, 157.3241, 199.74795]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BSGS,1000000,1001,36952,44.8096,False,0.3858,20,20.262220200038428,19.967376500062528,10.061859790880026,4.409804484605993,6.249241999739752,33.989479999945615,"[8.579973, 32.953568, 33.98948, 20.909614, 31.633599, 26.796829, 12.450171, 8.77766, 24.457243, 19.025139, 15.37199, 32.854685, 33.606973, 24.009894, 17.57389, 6.266717, 10.703611, 6.249242, 9.858856, 29.17527]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Linear,1000000,0,0,0.0,True,1.0,20,2154.063625005165,2270.4904999955033,1291.990779731883,566.2399251175558,228.1124998262385,4425.447500125301,"[2782.4435, 2662.031, 1298.1055, 3669.895, 2881.3055, 2108.5795, 4425.4475, 2881.271, 1966.759, 1785.113, 1076.2385, 671.9515, 2508.206, 2432.4015, 446.4015, 3729.798, 228.1125, 4244.9515, 534.4635, 747.7975]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BSGS,10000000,3163,147544,148.1606,False,0.3858,20,55.94568434996745,57.57125800028007,32.73198935955377,14.34542683636536,1.888205999875936,105.21695699981137,"[12.627169, 68.506306, 69.168956, 105.216957, 84.426726, 93.657121, 45.23413, 97.696957, 3.335118, 21.812918, 95.363097, 47.851745, 61.725584, 20.821975, 53.416932, 78.619716, 29.281995, 80.276647, 1.888206, 47.985432]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Linear,10000000,0,0,0.0,True,1.0,20,25902.818999611554,25793.34249844578,13680.714264093796,5995.8373867518885,5178.789999717992,47899.18499909618,"[47899.184999, 24664.604998, 37472.889999, 8772.190001, 24938.049999, 45057.805, 5178.79, 42813.645, 30730.375001, 14713.09, 41414.535001, 31565.494999, 24930.385, 30033.879998, 9711.695, 7486.760001, 18386.765, 37709.969999, 7927.634999, 26648.634998]",2026-08-16T18:52:07+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
