N,r,d,m_c,matched_nodes,n_blk,request_bytes,response1_bytes,response2_bytes,total_bytes,total_kb,naive_all_records_kb,saving_vs_naive_pct,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
1000,50,3,12,12,1,4656,3214,55496,63366,61.88,35.51,-74.3,20,0.004440000338945538,0.0040000013541430235,0.0019013586213491285,0.0008333071568806191,0.0039000005926936865,0.012500007869675756,"[0.0125, 0.0045, 0.0041, 0.004, 0.004, 0.0041, 0.004, 0.004, 0.004, 0.004, 0.0039, 0.004, 0.004, 0.0039, 0.0039, 0.004, 0.004, 0.004, 0.0039, 0.004]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
1000,100,3,12,12,1,5056,3214,103702,111972,109.35,67.88,-61.1,20,0.004414998693391681,0.0040000013541430235,0.0017862867773627944,0.0007828746976524792,0.0039000005926936865,0.01200000406242907,"[0.012, 0.0042, 0.004, 0.004, 0.004, 0.0041, 0.004, 0.0039, 0.004, 0.004, 0.0041, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
1000,500,3,12,12,1,8256,3214,439190,450660,440.1,326.87,-34.6,20,0.004094999167136848,0.0040000013541430235,0.0003119997812391475,0.00013673993308389626,0.0039000005926936865,0.005400012014433742,"[0.0054, 0.0041, 0.0041, 0.0041, 0.004, 0.0041, 0.004, 0.0039, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.0041, 0.004, 0.004, 0.004, 0.0041]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
1000,1000,3,12,12,1,12256,3214,877690,893160,872.23,650.6,-34.1,20,0.004050001734867692,0.0040000013541430235,0.00025026492516228705,0.00010968343946916718,0.0039000005926936865,0.0051000097300857306,"[0.0051, 0.0041, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.0039, 0.004, 0.004, 0.004, 0.0039, 0.004, 0.004]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
10000,50,3,12,12,3,4656,8590,66452,79698,77.83,40.76,-90.9,20,0.004264999006409198,0.004199973773211241,0.0004602891677522713,0.000201730622206573,0.0041000021155923605,0.006199989002197981,"[0.0062, 0.0043, 0.0042, 0.0041, 0.0042, 0.0042, 0.0041, 0.0042, 0.0043, 0.0042, 0.0041, 0.0042, 0.0042, 0.0041, 0.0041, 0.0041, 0.0041, 0.0041, 0.0041, 0.0042]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
10000,100,3,12,12,3,5056,8590,125614,139260,136.0,73.13,-86.0,20,0.0042350031435489655,0.0042000028770416975,0.0002580819201192249,0.00011310938856145046,0.0041000021155923605,0.0053000112529844046,"[0.0053, 0.0043, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042, 0.0041, 0.0042, 0.0041, 0.0043, 0.0041, 0.0041, 0.0041, 0.0042, 0.0042, 0.0042, 0.0042, 0.0041]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
10000,500,3,12,12,3,8256,8590,548750,565596,552.34,332.12,-66.3,20,0.0043199979700148106,0.0042000028770416975,0.0003562912008017593,0.00015615150357644122,0.0041000021155923605,0.005399982910603285,"[0.0053, 0.0043, 0.0042, 0.0043, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042, 0.0043, 0.0042, 0.0041, 0.0042, 0.0042, 0.0054, 0.0041, 0.0042, 0.0042, 0.0042, 0.0042]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
10000,1000,3,12,12,3,12256,8590,1030876,1051722,1027.07,655.85,-56.6,20,0.0042149986256845295,0.0042000028770416975,0.0002134325731396003,9.354094946195703e-05,0.0041000021155923605,0.0051000097300857306,"[0.0051, 0.0042, 0.0041, 0.0041, 0.0042, 0.0041, 0.0041, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042, 0.0041, 0.0042, 0.0042, 0.0042, 0.0041]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
100000,50,3,12,12,25,4656,61390,77408,143454,140.09,92.32,-51.7,20,0.004290000651963055,0.0042000028770416975,0.000309327434937307,0.0001355687256777905,0.0040000013541430235,0.0052000104915350676,"[0.0052, 0.0043, 0.0042, 0.0042, 0.0047, 0.005, 0.0042, 0.0041, 0.0042, 0.0042, 0.0042, 0.0042, 0.004, 0.0041, 0.0041, 0.0042, 0.0041, 0.0042, 0.0042, 0.0042]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
100000,100,3,12,12,25,5056,61390,147526,213972,208.96,124.7,-67.6,20,0.004200001421850175,0.004150002496317029,0.00022005021344854306,9.644125820391901e-05,0.004099973011761904,0.0051000097300857306,"[0.0051, 0.0043, 0.0042, 0.0041, 0.0041, 0.0041, 0.0041, 0.0041, 0.0041, 0.0042, 0.0041, 0.0041, 0.0042, 0.0042, 0.0042, 0.0041, 0.0042, 0.0041, 0.0042, 0.0042]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
100000,500,3,12,12,25,8256,61390,658376,728022,710.96,383.68,-85.3,20,0.004210001497995108,0.0042000028770416975,0.000238196844713285,0.00010439437001375387,0.0041000021155923605,0.0052000104915350676,"[0.0052, 0.0042, 0.0041, 0.0042, 0.0042, 0.0042, 0.0041, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042, 0.0041, 0.0041, 0.0041, 0.0041, 0.0041, 0.0042, 0.0041, 0.0042]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
100000,1000,3,12,12,25,12256,61390,1250128,1323774,1292.75,707.41,-82.7,20,0.004604998684953898,0.0042000028770416975,0.001859954211017615,0.0008151608739709855,0.0041000021155923605,0.012499978765845299,"[0.0125, 0.0044, 0.0042, 0.0043, 0.0041, 0.0043, 0.0041, 0.0042, 0.0042, 0.0042, 0.0041, 0.0041, 0.0041, 0.0041, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042, 0.0042]",2026-08-16T18:24:54+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
