primitive,backend,detail,calls_per_query_note,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
bilinear_pairing,py_arkworks_bls12381,BLS12-381,2 per ABSE.Test,200,1.0096092949822832,0.998566999896866,0.034542777967017144,0.004787384778133821,0.9629399999084853,1.1150020000059158,"[1.00102, 0.990635, 1.024956, 0.973319, 0.988916, 0.976305, 1.049483, 0.998517, 0.974358, 0.97274, 1.039908, 1.000679, 0.997995, 0.967974, 1.029061, 0.983822, 0.995184, 0.984236, 1.064515, 0.998204, 0.982325, 1.001777, 1.067528, 0.999128, 0.989664, 0.97063, 1.094901, 0.97346, 0.977207, 0.979407, 1.089598, 0.983615, 1.013116, 0.989475, 1.087062, 0.991022, 0.986363, 0.990997, 1.08289, 0.990491, 0.98367, 0.972574, 1.024126, 0.984608, 0.992859, 0.978262, 1.076328, 0.981863, 0.971979, 0.998033, 1.106851, 0.96294, 0.983951, 0.97436, 1.075949, 0.974091, 1.002296, 0.977029, 1.083247, 0.984853, 1.02458, 1.011933, 1.023413, 0.985343, 0.983967, 1.006531, 1.082802, 0.997462, 0.984179, 1.014322, 1.064468, 0.989243, 0.998977, 1.004552, 0.994014, 0.981607, 0.983655, 1.023228, 1.060522, 0.984744, 1.02755, 1.045974, 1.014503, 0.98723, 0.99809, 1.043766, 1.022601, 0.99532, 0.994849, 1.009802, 0.987459, 1.000667, 0.976833, 1.037429, 1.040556, 0.96863, 1.005259, 1.036682, 1.064103, 1.017576, 0.973263, 1.044706, 1.011092, 0.972234, 0.972064, 1.088868, 1.012342, 0.968707, 0.997873, 1.080256, 1.021782, 0.992082, 0.98953, 1.021303, 1.022909, 0.974138, 0.995481, 1.082756, 0.984641, 0.994694, 1.007909, 1.024994, 0.99361, 1.003666, 0.990923, 1.101869, 0.976746, 0.994971, 0.991409, 1.105288, 0.987528, 1.005564, 0.98649, 1.102043, 0.977047, 0.994969, 0.975453, 1.028478, 0.975292, 0.994945, 1.014358, 1.021113, 0.999864, 0.987329, 0.984342, 1.082694, 0.972017, 0.99639, 0.995221, 1.106825, 0.98186, 0.991017, 1.01332, 1.015695, 1.017446, 0.98544, 1.00628, 1.115002, 1.007973, 0.989029, 1.002592, 1.013667, 1.005525, 0.987107, 1.017123, 1.051127, 0.999834, 1.007751, 1.018482, 1.038061, 0.997727, 0.998617, 1.029349, 1.042679, 0.978426, 0.993097, 1.046352, 1.049861, 1.009047, 1.009164, 1.023866, 0.981751, 0.9814, 1.000157, 1.05119, 1.000083, 0.975286, 0.999245, 1.067106, 1.027984, 0.985793, 0.965378, 1.033521, 1.012861, 0.975041, 0.99434, 1.042145, 1.023684, 0.974787, 0.99075]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
abse_test,py_arkworks_bls12381,single Test call (match=True),N_u * m_c per query (exhaustive match),200,2.4801091700101097,2.480703499941228,0.04525229386986856,0.006271647956487577,2.4012550002225908,2.640186000007816,"[2.426293, 2.523059, 2.481149, 2.428148, 2.511275, 2.420519, 2.519133, 2.447053, 2.41833, 2.436081, 2.445846, 2.455392, 2.476235, 2.453299, 2.540865, 2.454994, 2.481799, 2.539329, 2.450246, 2.44532, 2.528604, 2.426092, 2.541574, 2.433326, 2.519492, 2.455162, 2.443801, 2.489717, 2.483956, 2.445047, 2.560387, 2.41336, 2.49523, 2.534348, 2.480577, 2.436755, 2.439108, 2.488506, 2.553446, 2.427664, 2.548403, 2.518002, 2.467429, 2.549752, 2.437906, 2.476943, 2.550488, 2.438244, 2.523431, 2.548613, 2.454174, 2.480273, 2.450084, 2.503472, 2.519117, 2.437285, 2.486109, 2.500797, 2.492018, 2.457502, 2.476674, 2.501353, 2.557103, 2.420855, 2.525292, 2.524142, 2.47017, 2.458998, 2.43839, 2.45224, 2.509858, 2.409998, 2.539826, 2.469497, 2.520899, 2.486006, 2.442431, 2.50425, 2.494136, 2.441995, 2.538378, 2.439394, 2.530176, 2.495503, 2.428885, 2.509117, 2.531061, 2.429787, 2.529713, 2.438612, 2.505623, 2.490905, 2.420727, 2.49356, 2.489743, 2.450843, 2.53388, 2.401255, 2.512915, 2.640186, 2.424444, 2.500714, 2.490925, 2.459943, 2.453395, 2.403175, 2.521667, 2.488681, 2.40578, 2.517927, 2.437305, 2.495458, 2.546824, 2.426947, 2.519569, 2.497551, 2.406841, 2.450542, 2.407037, 2.532884, 2.546427, 2.405144, 2.522212, 2.497277, 2.443428, 2.532702, 2.442201, 2.550979, 2.539341, 2.416516, 2.545603, 2.464455, 2.464055, 2.506175, 2.419175, 2.512177, 2.493145, 2.428828, 2.552155, 2.48083, 2.426876, 2.533625, 2.424264, 2.502519, 2.440699, 2.410321, 2.520506, 2.464194, 2.460287, 2.533539, 2.404005, 2.548174, 2.463183, 2.512041, 2.463549, 2.487961, 2.445557, 2.531887, 2.416196, 2.506375, 2.455309, 2.518847, 2.456183, 2.451991, 2.46401, 2.500189, 2.416563, 2.486507, 2.405825, 2.520997, 2.531419, 2.459591, 2.559487, 2.478037, 2.435154, 2.560828, 2.429792, 2.495476, 2.516983, 2.465733, 2.461326, 2.460903, 2.429235, 2.508522, 2.442934, 2.5185, 2.502865, 2.450406, 2.460961, 2.412689, 2.515116, 2.497455, 2.411579, 2.519011, 2.441632, 2.463022, 2.502376, 2.435903, 2.52793, 2.559421]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
abse_tokengen,py_arkworks_bls12381,single TokenGen call,m_c per trapdoor (Experiment 01),200,0.7054384949935866,0.6995475000621809,0.03513538816923882,0.004869516361881711,0.6379799999649549,0.8338160000675998,"[0.804537, 0.713866, 0.678951, 0.708436, 0.729548, 0.749378, 0.743867, 0.728679, 0.65834, 0.693161, 0.678116, 0.778281, 0.735927, 0.721547, 0.685645, 0.705242, 0.676361, 0.833816, 0.659904, 0.650474, 0.707728, 0.705346, 0.725215, 0.706244, 0.741114, 0.668825, 0.689147, 0.703585, 0.760051, 0.675779, 0.680855, 0.767549, 0.722371, 0.699062, 0.719596, 0.686186, 0.685972, 0.706119, 0.665256, 0.76697, 0.707961, 0.688564, 0.698905, 0.698518, 0.727441, 0.715374, 0.721605, 0.691987, 0.677169, 0.709132, 0.706969, 0.746209, 0.667257, 0.641238, 0.699502, 0.721427, 0.730417, 0.733683, 0.691074, 0.643302, 0.732765, 0.688977, 0.701167, 0.719844, 0.679923, 0.696275, 0.690973, 0.66928, 0.816044, 0.676391, 0.683131, 0.696757, 0.699042, 0.70213, 0.783143, 0.685928, 0.661157, 0.702665, 0.700003, 0.746123, 0.66279, 0.684624, 0.695599, 0.677962, 0.736064, 0.767048, 0.688222, 0.67492, 0.717877, 0.672716, 0.720591, 0.699512, 0.720162, 0.63798, 0.688576, 0.689036, 0.740807, 0.743944, 0.717601, 0.708576, 0.65931, 0.693592, 0.788723, 0.681539, 0.704652, 0.698138, 0.654509, 0.703902, 0.810404, 0.657518, 0.710954, 0.67668, 0.687233, 0.751263, 0.732531, 0.701747, 0.722834, 0.713709, 0.713316, 0.706597, 0.694384, 0.737128, 0.711468, 0.66897, 0.711026, 0.739859, 0.697378, 0.691525, 0.679764, 0.662096, 0.71727, 0.691843, 0.698276, 0.694956, 0.71664, 0.734723, 0.743982, 0.642311, 0.75084, 0.699437, 0.710551, 0.726239, 0.791818, 0.679563, 0.688698, 0.717612, 0.735333, 0.723304, 0.690653, 0.683509, 0.689042, 0.723256, 0.710687, 0.765754, 0.679668, 0.669439, 0.704419, 0.702496, 0.725641, 0.734457, 0.699583, 0.700734, 0.656988, 0.667267, 0.687921, 0.654805, 0.703388, 0.712152, 0.677672, 0.676516, 0.801028, 0.684857, 0.671719, 0.71847, 0.689343, 0.717091, 0.781902, 0.683761, 0.672196, 0.690914, 0.684559, 0.749846, 0.725954, 0.676393, 0.658406, 0.673981, 0.688603, 0.771236, 0.676286, 0.722525, 0.655373, 0.688411, 0.691245, 0.775503, 0.650471, 0.67214, 0.687616, 0.683789, 0.722364, 0.66842]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
merkle_verify_single,sha256,"N=10,000 leaves, single-leaf proof",r per query if naive; shared in multiproof,200,0.007754110014275284,0.007677500093450362,0.0010426015302481212,0.0001444971999743279,0.007508000180678209,0.022307000108412467,"[0.007942, 0.007823, 0.007743, 0.00771, 0.007773, 0.00776, 0.007702, 0.00771, 0.007672, 0.007815, 0.007825, 0.007737, 0.007713, 0.00776, 0.007676, 0.007668, 0.007731, 0.007703, 0.007695, 0.007718, 0.007642, 0.007705, 0.007771, 0.007716, 0.007633, 0.007707, 0.007701, 0.007789, 0.0077, 0.007764, 0.007685, 0.007722, 0.00762, 0.007801, 0.00781, 0.007671, 0.007707, 0.007773, 0.007748, 0.007697, 0.00763, 0.00765, 0.007722, 0.007678, 0.007731, 0.007645, 0.007643, 0.007655, 0.007649, 0.007664, 0.007639, 0.007643, 0.007602, 0.007795, 0.007772, 0.007778, 0.00776, 0.007693, 0.007714, 0.007718, 0.007675, 0.007745, 0.00775, 0.007675, 0.007729, 0.007658, 0.00773, 0.007741, 0.007748, 0.007692, 0.00772, 0.007706, 0.007656, 0.007682, 0.007725, 0.007714, 0.007741, 0.007881, 0.007715, 0.007701, 0.007681, 0.007698, 0.007706, 0.007771, 0.007693, 0.007672, 0.007704, 0.007742, 0.00768, 0.007651, 0.00774, 0.007692, 0.007716, 0.007765, 0.007697, 0.007753, 0.007695, 0.007618, 0.007688, 0.007722, 0.00771, 0.007646, 0.00776, 0.007726, 0.007787, 0.007721, 0.007759, 0.007696, 0.007753, 0.007733, 0.007733, 0.007723, 0.0077, 0.00771, 0.007656, 0.022307, 0.009227, 0.007711, 0.007619, 0.007644, 0.00764, 0.007593, 0.007618, 0.007623, 0.007575, 0.00758, 0.007555, 0.007607, 0.007536, 0.007768, 0.007679, 0.007607, 0.007508, 0.007628, 0.007515, 0.007547, 0.007541, 0.007549, 0.007579, 0.007581, 0.007641, 0.007569, 0.007599, 0.007633, 0.007695, 0.007592, 0.007584, 0.00752, 0.007557, 0.00768, 0.00759, 0.007592, 0.007674, 0.007653, 0.007619, 0.007575, 0.007617, 0.00765, 0.00769, 0.007709, 0.007594, 0.007637, 0.007641, 0.007627, 0.007636, 0.007573, 0.007612, 0.00759, 0.007575, 0.007677, 0.007629, 0.007577, 0.007644, 0.007666, 0.007646, 0.007696, 0.007611, 0.007627, 0.007578, 0.007618, 0.007578, 0.00761, 0.007621, 0.007626, 0.007541, 0.007596, 0.007584, 0.007606, 0.00763, 0.007595, 0.007566, 0.007629, 0.007651, 0.007672, 0.007572, 0.007659, 0.007838, 0.007548, 0.007554, 0.007616]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
sha256,hashlib,64-byte input,~r*log(N/r) in the multiproof,200,0.00045809499624738237,0.0004019999551019282,0.0006118356375516533,8.479609314373626e-05,0.00038899997889529914,0.009034999948198674,"[0.000604, 0.000663, 0.000461, 0.000414, 0.000409, 0.00053, 0.009035, 0.001023, 0.000426, 0.000475, 0.000417, 0.000412, 0.00043, 0.000413, 0.000409, 0.00041, 0.00043, 0.000478, 0.000413, 0.000406, 0.00041, 0.000408, 0.000409, 0.000407, 0.000407, 0.000465, 0.000407, 0.000408, 0.0004, 0.000404, 0.000406, 0.000431, 0.000414, 0.00041, 0.000415, 0.000408, 0.000414, 0.000407, 0.000435, 0.00041, 0.000406, 0.000415, 0.000406, 0.000415, 0.000436, 0.000414, 0.000409, 0.000409, 0.000409, 0.000413, 0.000433, 0.000411, 0.00053, 0.000446, 0.000439, 0.0004, 0.000414, 0.000397, 0.000399, 0.000397, 0.000397, 0.000396, 0.000423, 0.000418, 0.00039, 0.000409, 0.0004, 0.000402, 0.000419, 0.000395, 0.000395, 0.000393, 0.000394, 0.000392, 0.000424, 0.000393, 0.000423, 0.000443, 0.000427, 0.00041, 0.000405, 0.000401, 0.000394, 0.000425, 0.000399, 0.000396, 0.000401, 0.000414, 0.000398, 0.000396, 0.000393, 0.000393, 0.00041, 0.000422, 0.000397, 0.000401, 0.000395, 0.000395, 0.000396, 0.000506, 0.00046, 0.000419, 0.000423, 0.000396, 0.000389, 0.000401, 0.000422, 0.000394, 0.000396, 0.000454, 0.000405, 0.000411, 0.000397, 0.000395, 0.000404, 0.000396, 0.000392, 0.000424, 0.000395, 0.000401, 0.0004, 0.00042, 0.0004, 0.000414, 0.000395, 0.000398, 0.000391, 0.000399, 0.000394, 0.000454, 0.000401, 0.000402, 0.000397, 0.000401, 0.0004, 0.000413, 0.000395, 0.000394, 0.000396, 0.000393, 0.000398, 0.00042, 0.000417, 0.000396, 0.000391, 0.000395, 0.00042, 0.0004, 0.000398, 0.000402, 0.000396, 0.000395, 0.000426, 0.000399, 0.000419, 0.000398, 0.0004, 0.000394, 0.000418, 0.000401, 0.000392, 0.000417, 0.000396, 0.000416, 0.000397, 0.000396, 0.00042, 0.000394, 0.000398, 0.000392, 0.000398, 0.000417, 0.000397, 0.000402, 0.000398, 0.000397, 0.000392, 0.000398, 0.000397, 0.000417, 0.000395, 0.000399, 0.000421, 0.000398, 0.000395, 0.000398, 0.000393, 0.000399, 0.000399, 0.000399, 0.000399, 0.000399, 0.000422, 0.000393, 0.000401, 0.000419, 0.000397, 0.000398, 0.0004, 0.000439]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
hmac_sha256,hmac,64-byte input,1 per epoch-root signature check,200,0.0015333899978031695,0.0014309999869510648,0.0004038188962326264,5.5966443659881944e-05,0.0013559999842982506,0.006058999815650168,"[0.001616, 0.001529, 0.001433, 0.001396, 0.001369, 0.00142, 0.001525, 0.001447, 0.001386, 0.001436, 0.001426, 0.001377, 0.001415, 0.001407, 0.001432, 0.001379, 0.001438, 0.001384, 0.001407, 0.00139, 0.00137, 0.001393, 0.001382, 0.001414, 0.001447, 0.00138, 0.001423, 0.001391, 0.001385, 0.00144, 0.001392, 0.001391, 0.001375, 0.0014, 0.001427, 0.001388, 0.001377, 0.001539, 0.001394, 0.001417, 0.001395, 0.001397, 0.001426, 0.00139, 0.001394, 0.001414, 0.001376, 0.001432, 0.001395, 0.001367, 0.001397, 0.001459, 0.001581, 0.001461, 0.00138, 0.001416, 0.001411, 0.00139, 0.001389, 0.001391, 0.001364, 0.001385, 0.001376, 0.001421, 0.001439, 0.001394, 0.001368, 0.001404, 0.00141, 0.001389, 0.00138, 0.001367, 0.001396, 0.001441, 0.001389, 0.001404, 0.001356, 0.001452, 0.001366, 0.001379, 0.001375, 0.001358, 0.001387, 0.001369, 0.001395, 0.001377, 0.001407, 0.001415, 0.001475, 0.001367, 0.001365, 0.001388, 0.001395, 0.00143, 0.001357, 0.00138, 0.001395, 0.001366, 0.0014, 0.001409, 0.001576, 0.00141, 0.001395, 0.001384, 0.001367, 0.001392, 0.001362, 0.001461, 0.001422, 0.001427, 0.001369, 0.001433, 0.001408, 0.001391, 0.001387, 0.00136, 0.001386, 0.00141, 0.001373, 0.001381, 0.001454, 0.001414, 0.00137, 0.001449, 0.001632, 0.001668, 0.001688, 0.001609, 0.001628, 0.001675, 0.001648, 0.001612, 0.001608, 0.001655, 0.001616, 0.001636, 0.001616, 0.006059, 0.004489, 0.001745, 0.001672, 0.001629, 0.001693, 0.001664, 0.001656, 0.001618, 0.001638, 0.001597, 0.001637, 0.001646, 0.001674, 0.001592, 0.001672, 0.001637, 0.001682, 0.001637, 0.001637, 0.00159, 0.001663, 0.001619, 0.001632, 0.001663, 0.001585, 0.001644, 0.00165, 0.001662, 0.001617, 0.001657, 0.001626, 0.001674, 0.001623, 0.001629, 0.001638, 0.001685, 0.001669, 0.00165, 0.001642, 0.001694, 0.001602, 0.001619, 0.001614, 0.001601, 0.001677, 0.001583, 0.001659, 0.001595, 0.001647, 0.00164, 0.00164, 0.001605, 0.001659, 0.0016, 0.001668, 0.001597, 0.001627, 0.001627, 0.001641, 0.001783, 0.001786, 0.001662]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
bitmap_and_100k,python int,"100,000-bit operands, word-parallel",d-1 per conjunctive query,200,0.0011872900006437703,0.0012190000688860891,0.0001406459071055574,1.949252823345268e-05,0.0007559999630757375,0.002322999989701202,"[0.001366, 0.00165, 0.001313, 0.001274, 0.001231, 0.00126, 0.001264, 0.001237, 0.001222, 0.001248, 0.001225, 0.001226, 0.001291, 0.001263, 0.001243, 0.00122, 0.001214, 0.001221, 0.001219, 0.001221, 0.001259, 0.001215, 0.001222, 0.001233, 0.001234, 0.001241, 0.001224, 0.001268, 0.001214, 0.001264, 0.001226, 0.001226, 0.001216, 0.001232, 0.001229, 0.001227, 0.001254, 0.00129, 0.001236, 0.001272, 0.001225, 0.001236, 0.001227, 0.001224, 0.00122, 0.001231, 0.001277, 0.001274, 0.001221, 0.001222, 0.001217, 0.001237, 0.00127, 0.001225, 0.00124, 0.001221, 0.00122, 0.001219, 0.001223, 0.001213, 0.001214, 0.001223, 0.001269, 0.001219, 0.001206, 0.001233, 0.001215, 0.001219, 0.001221, 0.001262, 0.001212, 0.001215, 0.00121, 0.001219, 0.001212, 0.001265, 0.001214, 0.001286, 0.001228, 0.001212, 0.000826, 0.001215, 0.001206, 0.001208, 0.001212, 0.001209, 0.001218, 0.001211, 0.001215, 0.001209, 0.00121, 0.001202, 0.001213, 0.001446, 0.001247, 0.001274, 0.001212, 0.001258, 0.001214, 0.001315, 0.00126, 0.001274, 0.000864, 0.001225, 0.001216, 0.001222, 0.001221, 0.001217, 0.001224, 0.001287, 0.00124, 0.001257, 0.001218, 0.001265, 0.001221, 0.001229, 0.001225, 0.001217, 0.001219, 0.001215, 0.000867, 0.00122, 0.001227, 0.001212, 0.00122, 0.001221, 0.001215, 0.001209, 0.001222, 0.001276, 0.001237, 0.001269, 0.001227, 0.001217, 0.001217, 0.001213, 0.001223, 0.001215, 0.001218, 0.000858, 0.001222, 0.00122, 0.001217, 0.001225, 0.001222, 0.001212, 0.00121, 0.000905, 0.001257, 0.001246, 0.001215, 0.001215, 0.001222, 0.001223, 0.001219, 0.001223, 0.000902, 0.001221, 0.002323, 0.00103, 0.001021, 0.00107, 0.001028, 0.001026, 0.000756, 0.001022, 0.001024, 0.001027, 0.001028, 0.001025, 0.001031, 0.001024, 0.00103, 0.001065, 0.001191, 0.000756, 0.001048, 0.001033, 0.001038, 0.001037, 0.001032, 0.001033, 0.001029, 0.001082, 0.001024, 0.000781, 0.001043, 0.001031, 0.001032, 0.001034, 0.001028, 0.001034, 0.001028, 0.001043, 0.001042, 0.001102, 0.001079, 0.001056, 0.001077, 0.001034]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
bitmap_and_popcount_100k,python int,"100,000 bits + popcount",1 per query to size the result set,200,0.3105851800034998,0.30389050004941964,0.01938988775896877,0.0026873013396793177,0.2946129998235847,0.3895459999512241,"[0.336902, 0.389546, 0.362409, 0.327356, 0.333592, 0.326155, 0.326616, 0.331738, 0.325075, 0.326255, 0.332997, 0.311395, 0.330077, 0.373268, 0.35887, 0.306131, 0.314649, 0.306039, 0.305771, 0.306159, 0.314614, 0.305746, 0.305565, 0.313882, 0.305716, 0.351422, 0.353307, 0.305281, 0.305499, 0.313043, 0.306219, 0.303976, 0.312325, 0.304323, 0.303582, 0.304129, 0.311777, 0.304761, 0.334651, 0.313087, 0.303278, 0.303776, 0.312153, 0.303153, 0.301291, 0.317462, 0.319955, 0.320053, 0.326351, 0.303551, 0.311563, 0.325027, 0.307605, 0.299101, 0.299051, 0.30742, 0.299107, 0.29933, 0.306319, 0.298111, 0.298536, 0.297804, 0.305533, 0.299096, 0.326171, 0.307597, 0.299563, 0.297716, 0.305196, 0.299217, 0.29756, 0.306212, 0.298381, 0.298202, 0.298219, 0.308895, 0.298986, 0.344495, 0.363562, 0.331045, 0.297775, 0.305313, 0.297147, 0.297588, 0.304676, 0.296649, 0.297234, 0.297358, 0.303976, 0.29736, 0.362178, 0.374685, 0.309668, 0.298049, 0.303519, 0.297362, 0.297309, 0.305723, 0.297262, 0.296409, 0.305624, 0.297037, 0.29922, 0.344065, 0.354743, 0.297159, 0.296711, 0.304235, 0.297089, 0.299997, 0.319356, 0.313252, 0.312508, 0.307849, 0.296306, 0.31312, 0.3173, 0.304795, 0.297318, 0.296035, 0.304349, 0.29602, 0.296965, 0.30733, 0.296374, 0.296541, 0.295974, 0.304299, 0.296704, 0.348631, 0.352986, 0.296313, 0.296611, 0.303884, 0.295123, 0.29613, 0.303897, 0.29626, 0.295789, 0.296316, 0.303747, 0.296561, 0.333092, 0.319746, 0.313871, 0.309682, 0.303457, 0.295697, 0.294613, 0.302931, 0.296875, 0.296699, 0.295167, 0.3509, 0.296072, 0.335118, 0.356146, 0.295528, 0.295375, 0.303446, 0.295709, 0.296292, 0.304283, 0.296049, 0.295947, 0.296173, 0.303925, 0.295878, 0.345298, 0.348961, 0.334207, 0.295151, 0.303694, 0.295728, 0.295476, 0.317558, 0.295476, 0.29526, 0.295636, 0.303126, 0.295732, 0.337521, 0.36375, 0.30071, 0.296216, 0.302488, 0.295895, 0.296043, 0.305823, 0.295596, 0.294651, 0.295423, 0.303177, 0.29597, 0.345678, 0.360454, 0.29539, 0.295644, 0.303587, 0.295735]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
ecelgamal_encrypt,NIST P-256,"lifted, single value",1 per record at ingest,50,1.6827784599945517,1.6769735000252695,0.07235121792702505,0.020054734434735603,1.5233710000757128,1.8983009999828937,"[1.898301, 1.749002, 1.673492, 1.718562, 1.668186, 1.590774, 1.718204, 1.586657, 1.800541, 1.599593, 1.799015, 1.688477, 1.681247, 1.778498, 1.607897, 1.715956, 1.693427, 1.682437, 1.586628, 1.604955, 1.728202, 1.739136, 1.688037, 1.605638, 1.634255, 1.749668, 1.644844, 1.755124, 1.721888, 1.672322, 1.643191, 1.669857, 1.744621, 1.614917, 1.637407, 1.594573, 1.523371, 1.752588, 1.637485, 1.674471, 1.635459, 1.679476, 1.740503, 1.643471, 1.768601, 1.616499, 1.731962, 1.641054, 1.612641, 1.795813]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
ecelgamal_add,NIST P-256,homomorphic point addition,r-1 per aggregation,200,0.012182334999124578,0.01194699996176496,0.0011685033877974064,0.00016194630719279602,0.011691999816321186,0.021289999949658522,"[0.012441, 0.012249, 0.012497, 0.012354, 0.013525, 0.012274, 0.012197, 0.012053, 0.012019, 0.012136, 0.012105, 0.01195, 0.012083, 0.012005, 0.011935, 0.011861, 0.011992, 0.011951, 0.011901, 0.011823, 0.011956, 0.012039, 0.012002, 0.011916, 0.012102, 0.012112, 0.012, 0.012, 0.012142, 0.011995, 0.011995, 0.011908, 0.011994, 0.012351, 0.012201, 0.011813, 0.011909, 0.012001, 0.01192, 0.012022, 0.012054, 0.012091, 0.012095, 0.011986, 0.012013, 0.012035, 0.012383, 0.012045, 0.012044, 0.012075, 0.01226, 0.011989, 0.012196, 0.012041, 0.012247, 0.012071, 0.012075, 0.012127, 0.011924, 0.011993, 0.011906, 0.011969, 0.01201, 0.02129, 0.012199, 0.011945, 0.011975, 0.013081, 0.012028, 0.012031, 0.012062, 0.01191, 0.01182, 0.012068, 0.011944, 0.011828, 0.011994, 0.011861, 0.012159, 0.011732, 0.011923, 0.011957, 0.011977, 0.011949, 0.011933, 0.011911, 0.011927, 0.011865, 0.0119, 0.011878, 0.011795, 0.011989, 0.011776, 0.011762, 0.011815, 0.011763, 0.011895, 0.011907, 0.012094, 0.012016, 0.012132, 0.011857, 0.011895, 0.011805, 0.011927, 0.012005, 0.011983, 0.01192, 0.012009, 0.011893, 0.011878, 0.011811, 0.011875, 0.011943, 0.011871, 0.011959, 0.011839, 0.011944, 0.011906, 0.011792, 0.012183, 0.011784, 0.011802, 0.011819, 0.012084, 0.011906, 0.011959, 0.011847, 0.011942, 0.01181, 0.011978, 0.011733, 0.011884, 0.011819, 0.011924, 0.011878, 0.011911, 0.012025, 0.011954, 0.011886, 0.011992, 0.011899, 0.011934, 0.011933, 0.011861, 0.020802, 0.01231, 0.01195, 0.011874, 0.011984, 0.011873, 0.011859, 0.011937, 0.011764, 0.011939, 0.011863, 0.011979, 0.011911, 0.012051, 0.011968, 0.011995, 0.011936, 0.011972, 0.01186, 0.011858, 0.01193, 0.01188, 0.011859, 0.011975, 0.011863, 0.011795, 0.011962, 0.011742, 0.011878, 0.011861, 0.011759, 0.011828, 0.011918, 0.011805, 0.011741, 0.011917, 0.011821, 0.011836, 0.011692, 0.011784, 0.011824, 0.011917, 0.011776, 0.011776, 0.011889, 0.012007, 0.011772, 0.013411, 0.013843, 0.020543, 0.015074, 0.0142, 0.014108, 0.014223, 0.014265]",2026-08-16T18:26:16+00:00,ip-172-31-15-37,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
