returned_results,bvcrsa_search_ms,bvcrsa_verify_ms,bvcrsa_total_ms,trinity_search_ms,trinity_verify_ms,trinity_total_ms,vckase_search_ms,vckase_verify_ms,vckase_total_ms
50,134.4106,0.5506,134.9611,126.5782,1.7368,128.3151,0.7666,2.0531,2.8197
100,134.4106,1.0404,135.4509,126.5782,3.4629,130.0412,0.7666,2.0232,2.7897
150,134.4106,1.3595,135.77,126.5782,5.2373,131.8156,0.7666,1.9964,2.763
200,134.4106,2.0165,136.4271,126.5782,6.8732,133.4514,0.7666,2.0122,2.7788
250,134.4106,2.0823,136.4928,126.5782,9.2443,135.8226,0.7666,1.9309,2.6975
300,134.4106,2.5544,136.9649,126.5782,10.762,137.3402,0.7666,2.0309,2.7975
350,134.4106,2.9261,137.3366,126.5782,12.5899,139.1681,0.7666,1.9761,2.7427
400,134.4106,3.3074,137.718,126.5782,14.4989,141.0771,0.7666,1.9978,2.7643
450,134.4106,3.6831,138.0936,126.5782,16.126,142.7043,0.7666,1.9618,2.7284
500,134.4106,3.9169,138.3275,126.5782,17.9063,144.4845,0.7666,2.0436,2.8102
